publishedAt,title,description,source,url,text
2025-06-22 13:17:40+00:00,chrome-custom-devices added to PyPI,A comprehensive tool to add custom device presets to Chrome DevTools,"{'id': None, 'name': 'Pypi.org'}",https://pypi.org/project/chrome-custom-devices/,chrome-custom-devices added to pypi a comprehensive tool to add custom device presets to chrome devtools
2025-06-22 13:17:40+00:00,chrome-custom-devices 1.0.7,A comprehensive tool to add custom device presets to Chrome DevTools,"{'id': None, 'name': 'Pypi.org'}",https://pypi.org/project/chrome-custom-devices/1.0.7/,chrome-custom-devices 1.0.7 a comprehensive tool to add custom device presets to chrome devtools
2025-06-22 13:11:13+00:00,The Galaxy Fold Ultra leaks show Samsung is chasing the wrong foldable dream,The Galaxy Fold Ultra leaks show Samsung is chasing the wrong foldable dreamandroidpolice.com,"{'id': None, 'name': 'Android Police'}",https://www.androidpolice.com/samsung-galaxy-fold-ultra-wrong-decision/,the galaxy fold ultra leaks show samsung is chasing the wrong foldable dream the galaxy fold ultra leaks show samsung is chasing the wrong foldable dreamandroidpolice.com
2025-06-22 13:01:04+00:00,"Public Health & Food Crisis | Air, Earth & Water Pollution | GMO Food | The Harjinder Gill Show","Public Health & Food Crisis | Air, Earth & Water Pollution | GMO Food | The Harjinder Gill Showyoutube.com","{'id': None, 'name': 'YouTube'}",https://www.youtube.com/supported_browsers?next_url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DY1iR5rf2yd4,"public health & food crisis | air, earth & water pollution | gmo food | the harjinder gill show public health & food crisis | air, earth & water pollution | gmo food | the harjinder gill showyoutube.com"
2025-06-22 12:55:12+00:00,"Apple's MagSafe Charging Explained: Qi2, Faster Charging and Android Compatibility",Your MagSafe accessories will work for both iPhones and Android phones as the Qi2 standard expands its reach.,"{'id': None, 'name': 'Slashdot.org'}",https://slashdot.org/firehose.pl?op=view&amp;id=178138719,"apple's magsafe charging explained: qi2, faster charging and android compatibility your magsafe accessories will work for both iphones and android phones as the qi2 standard expands its reach."
2025-06-22 12:48:00+00:00,Japan's high-tech sunscreens tap into skincare craze; Indonesia among nations where new factories will be set up,"When YouTuber Hannah Price set out to compare Japanese and Australian sunscreen, she wasn't expecting her deep dive into the subject to rack up over two million views. Read full story","{'id': None, 'name': 'The Star Online'}",https://www.thestar.com.my/aseanplus/aseanplus-news/2025/06/22/japan039s-high-tech-sunscreens-tap-into-skincare-craze-indonesia-among-nations-where-new-factories-will-be-set-up,"japan's high-tech sunscreens tap into skincare craze; indonesia among nations where new factories will be set up when youtuber hannah price set out to compare japanese and australian sunscreen, she wasn't expecting her deep dive into the subject to rack up over two million views. read full story"
2025-06-22 12:24:57+00:00,Google Admits Using YouTube Videos for AI Training,"Google has affirmed that it uses YouTube videos to train its AI. Although the company asserts that only a small number of videos are used ...
The post Google Admits Using YouTube Videos for AI Training appeared first on Gizchina.com.","{'id': None, 'name': 'Gizchina.com'}",https://www.gizchina.com/2025/06/22/google-admits-using-youtube-videos-for-ai-training/,"google admits using youtube videos for ai training google has affirmed that it uses youtube videos to train its ai. although the company asserts that only a small number of videos are used ...
the post google admits using youtube videos for ai training appeared first on gizchina.com."
2025-06-22 12:05:16+00:00,"Matter-certified Google Nest Learning Thermostat (4th gen) now up to $85 off (Open-box, 2-yr. warranty)","Ushered in as part of the Best Buy Deals of the Day, you’ll now find the Google Nest Learning Thermostat (4th gen) back down at $239.99 shipped. Regularly $280, this is matching our previous mention at Best Buy and Amazon with $40 in savings and the lowest pr…","{'id': None, 'name': '9to5Toys'}",http://9to5toys.com/2025/06/22/matter-google-nest-learning-thermostat-4th-gen-2/,"matter-certified google nest learning thermostat (4th gen) now up to $85 off (open-box, 2-yr. warranty) ushered in as part of the best buy deals of the day, you’ll now find the google nest learning thermostat (4th gen) back down at $239.99 shipped. regularly $280, this is matching our previous mention at best buy and amazon with $40 in savings and the lowest pr…"
2025-06-22 12:02:46+00:00,How I started a successful digital marketing business WITHOUT BUYING OR SELLING A COURSE,How I started a successful digital marketing business WITHOUT BUYING OR SELLING A COURSEyoutube.com,"{'id': None, 'name': 'YouTube'}",https://www.youtube.com/supported_browsers?next_url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D05v6VspuPxE,how i started a successful digital marketing business without buying or selling a course how i started a successful digital marketing business without buying or selling a courseyoutube.com
2025-06-22 12:00:31+00:00,Fastmail replaced my Gmail and I’m never going back,"I left Gmail and Google Calendar for Fastmail. Here’s how it fits into my Android workflow, what I gained, and why I’m not going back.","{'id': None, 'name': 'Android Authority'}",https://www.androidauthority.com/i-ditched-gmail-for-fastmail-3567593/,"fastmail replaced my gmail and i’m never going back i left gmail and google calendar for fastmail. here’s how it fits into my android workflow, what i gained, and why i’m not going back."
